 Description,Coupon,Coupon Frequency,Maturity Date,Moody's Rating,S&P Rating,Expected Price,Expected Yield,Call Protected,Offering Period,Settlement Date,Attributes
"UNITED STATES TREAS BILLS               ZERO CPN","0.000","N/A","07/07/2026","--","--","N/A","3.668","Yes","N/A","06/09/2026","CP SFP RI "
"BEAL BANK USA","3.650","AT MATURITY","07/08/2026","--","--","100.000","3.650","Yes","N/A","06/10/2026","CP SFP FDIC SO SKY "
"OCEANFIRST BANK NA","3.850","AT MATURITY","07/13/2026","--","--","100.000","3.850","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"TRADITION CAPITAL BANK","3.900","AT MATURITY","07/13/2026","--","--","100.000","3.900","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"SOUTHSTATE BANK NA","3.800","AT MATURITY","07/13/2026","--","--","100.000","3.800","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"WEX BANK","3.850","AT MATURITY","07/13/2026","--","--","100.000","3.850","Yes","N/A","06/12/2026","CP SFP FDIC SO SKY "
"CONNECTONE BANK","3.850","AT MATURITY","07/15/2026","--","--","100.000","3.850","Yes","N/A","06/15/2026","CP SFP FDIC SO "
"UNITED STATES TREAS BILLS ZERO CPN","0.000","N/A","08/04/2026","--","--","N/A","3.668","Yes","N/A","06/09/2026","CP SFP RI "
"BEAL BANK USA","3.650","AT MATURITY","08/12/2026","--","--","100.000","3.650","Yes","N/A","06/10/2026","CP SFP FDIC SO SKY "
"WEBBANK","3.850","AT MATURITY","08/12/2026","--","--","100.000","3.850","Yes","N/A","06/08/2026","CP SFP FDIC SO SKY "
"TRUIST BANK","3.900","AT MATURITY","09/03/2026","--","--","100.000","3.900","Yes","N/A","06/05/2026","CP SFP FDIC SO SKY "
"KEYBANK NA","3.900","AT MATURITY","09/08/2026","--","--","100.000","3.900","Yes","N/A","06/05/2026","CP SFP FDIC SO SKY "
"RELIANCE BANK","3.850","AT MATURITY","09/08/2026","--","--","100.000","3.850","Yes","N/A","06/08/2026","CP SFP FDIC SO "
"MIZRAHI TEFAHOT BANK","3.950","AT MATURITY","09/08/2026","--","--","100.000","3.950","Yes","N/A","06/15/2026","CP SFP FDIC SO SKY "
"KEARNY BANK","3.900","AT MATURITY","09/08/2026","--","--","100.000","3.900","Yes","N/A","06/08/2026","CP SFP FDIC SO SKY "
"GOLDMAN SACHS BANK USA","3.700","AT MATURITY","09/09/2026","--","--","100.000","3.700","Yes","N/A","06/09/2026","CP SFP FDIC SO "
"NORTHPOINTE BANK","3.950","AT MATURITY","09/09/2026","--","--","100.000","3.950","Yes","N/A","06/09/2026","CP SFP FDIC SO "
"VALLEY NATIONAL BANK","3.900","AT MATURITY","09/09/2026","--","--","100.000","3.900","Yes","N/A","06/09/2026","CP SFP FDIC SO "
"ZIONS BANCORPORATION","3.900","AT MATURITY","09/10/2026","--","--","100.000","3.900","Yes","N/A","06/10/2026","CP SFP FDIC SO "
"OLD NATIONAL BANK","3.900","AT MATURITY","09/10/2026","--","--","100.000","3.900","Yes","N/A","06/10/2026","CP SFP FDIC SO SKY "
"ASSOCIATED BANK NA","3.900","AT MATURITY","09/10/2026","--","--","100.000","3.900","Yes","N/A","06/10/2026","CP SFP FDIC SO SKY "
"OCEANFIRST BANK NA","3.900","AT MATURITY","09/14/2026","--","--","100.000","3.900","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"MERCHANTS BK OF INDIANA","3.900","AT MATURITY","09/14/2026","--","--","100.000","3.900","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"SOUTHSTATE BANK NA","3.900","AT MATURITY","09/14/2026","--","--","100.000","3.900","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"UNITY BANK","3.900","AT MATURITY","09/14/2026","--","--","100.000","3.900","Yes","N/A","06/15/2026","CP SFP FDIC SO "
"CUMBERLAND FEDERAL BK","3.850","AT MATURITY","09/18/2026","--","--","100.000","3.850","Yes","N/A","06/18/2026","CP SFP FDIC SO SKY "
"HANOVER COMMUNITY BANK","3.900","AT MATURITY","09/21/2026","--","--","100.000","3.900","Yes","N/A","06/22/2026","CP SFP FDIC SO "
"UNITED STATES TREAS BILLS ZERO CPN","0.000","N/A","10/06/2026","--","--","N/A","3.696","Yes","N/A","06/09/2026","CP SFP "
"WAYLAND MASS BD     ANTIC NTS","4.000","AT MATURITY","11/13/2026","--","--","100.560","2.650","Yes","OPEN ORDER PERIOD","06/12/2026","CP SFP C TE GO "
"SOFI BANK NA","3.950","AT MATURITY","11/18/2026","--","--","100.000","3.950","Yes","N/A","06/18/2026","CP SFP FDIC SO "
"COMMUNITY STATE BANK","3.950","AT MATURITY","11/18/2026","--","--","100.000","3.950","Yes","N/A","06/18/2026","CP SFP FDIC SO "
"TRUIST BANK","3.900","AT MATURITY","12/02/2026","--","--","100.000","3.900","Yes","N/A","06/05/2026","CP SFP FDIC SO SKY "
"MANCHESTER          BY-THE-SEA MASS GEN OBLIG BD ANTIC NTS","4.000","AT MATURITY","12/03/2026","--","--","100.625","2.550","Yes","OPEN ORDER PERIOD","06/26/2026","CP SFP C TE GO "
"BANK OF AMERICA, NA","3.850","AT MATURITY","12/04/2026","--","--","100.000","3.850","Yes","N/A","06/04/2026","CP SFP FDIC SO "
"KEYBANK NA","3.900","AT MATURITY","12/07/2026","--","--","100.000","3.900","Yes","N/A","06/05/2026","CP SFP FDIC SO SKY "
"CITY NATIONAL BANK","3.900","AT MATURITY","12/07/2026","--","--","100.000","3.900","Yes","N/A","06/05/2026","CP SFP FDIC SO "
"BANK HAPOALIM B.M.","3.950","AT MATURITY","12/08/2026","--","--","100.000","3.950","Yes","N/A","06/08/2026","CP SFP FDIC SO SKY "
"WEBBANK","3.900","AT MATURITY","12/09/2026","--","--","100.000","3.900","Yes","N/A","06/08/2026","CP SFP FDIC SO SKY "
"GOLDMAN SACHS BANK USA","3.800","AT MATURITY","12/09/2026","--","--","100.000","3.800","Yes","N/A","06/09/2026","CP SFP FDIC SO "
"OLD NATIONAL BANK","3.950","AT MATURITY","12/10/2026","--","--","100.000","3.950","Yes","N/A","06/10/2026","CP SFP FDIC SO SKY "
"ASSOCIATED BANK NA","3.900","AT MATURITY","12/10/2026","--","--","100.000","3.900","Yes","N/A","06/10/2026","CP SFP FDIC SO SKY "
"THE FARMERS BANK","3.900","AT MATURITY","12/10/2026","--","--","100.000","3.900","Yes","N/A","06/10/2026","CP SFP FDIC SO SKY "
"PINNACLE BANK","3.900","AT MATURITY","12/14/2026","--","--","100.000","3.900","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"SOUTHSTATE BANK NA","3.850","AT MATURITY","12/14/2026","--","--","100.000","3.850","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"MIZRAHI TEFAHOT BANK","3.950","AT MATURITY","12/15/2026","--","--","100.000","3.950","Yes","N/A","06/15/2026","CP SFP FDIC SO SKY "
"BANK OF CHINA","3.950","AT MATURITY","12/15/2026","--","--","100.000","3.950","Yes","N/A","06/10/2026","CP SFP FDIC SO SKY "
"CUMBERLAND FEDERAL BK","3.900","AT MATURITY","12/18/2026","--","--","100.000","3.900","Yes","N/A","06/18/2026","CP SFP FDIC SO SKY "
"SOFI BANK NA","3.950","AT MATURITY","12/18/2026","--","--","100.000","3.950","Yes","N/A","06/18/2026","CP SFP FDIC SO "
"FIRST WESTERN BANK","3.900","AT MATURITY","01/12/2027","--","--","100.000","3.900","Yes","N/A","06/12/2026","CP SFP FDIC SO "
"JOHN MARSHALL BANK","3.900","MONTHLY","01/22/2027","--","--","100.000","3.900","Yes","N/A","06/22/2026","CP SFP FDIC SO "
"SOUTHSTATE BANK NA","3.900","AT MATURITY","02/12/2027","--","--","100.000","3.900","Yes","N/A","06/12/2026","CP SFP FDIC SO "
